# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
# Number of images: 72, mean observations per image: 1
1 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 -5.000000 1 horizontal_000.png
2 -0.130526 0.000000 0.000000 0.991445 1.250000 0.334936 -4.829629 1 horizontal_015.png
3 -0.258819 0.000000 0.000000 0.965926 2.165064 1.250000 -4.330127 1 horizontal_030.png
4 -0.382683 0.000000 0.000000 0.923880 2.500000 2.500000 -3.535534 1 horizontal_045.png
5 -0.500000 0.000000 0.000000 0.866025 2.165064 3.750000 -2.500000 1 horizontal_060.png
6 -0.608761 0.000000 0.000000 0.793353 1.250000 4.665064 -1.294095 1 horizontal_075.png
7 -0.707107 0.000000 0.000000 0.707107 0.000000 5.000000 -0.000000 1 horizontal_090.png
8 -0.793353 0.000000 0.000000 0.608761 -1.250000 4.665064 1.294095 1 horizontal_105.png
9 -0.866025 0.000000 0.000000 0.500000 -2.165064 3.750000 2.500000 1 horizontal_120.png
10 -0.923880 0.000000 0.000000 0.382683 -2.500000 2.500000 3.535534 1 horizontal_135.png
11 -0.965926 0.000000 0.000000 0.258819 -2.165064 1.250000 4.330127 1 horizontal_150.png
12 -0.991445 0.000000 0.000000 0.130526 -1.250000 0.334936 4.829629 1 horizontal_165.png
13 -1.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 5.000000 1 horizontal_180.png
14 -0.991445 0.000000 0.000000 -0.130526 1.250000 0.334936 4.829629 1 horizontal_195.png
15 -0.965926 0.000000 0.000000 -0.258819 2.165064 1.250000 4.330127 1 horizontal_210.png
16 -0.923880 0.000000 0.000000 -0.382683 2.500000 2.500000 3.535534 1 horizontal_225.png
17 -0.866025 0.000000 0.000000 -0.500000 2.165064 3.750000 2.500000 1 horizontal_240.png
18 -0.793353 0.000000 0.000000 -0.608761 1.250000 4.665064 1.294095 1 horizontal_255.png
19 -0.707107 0.000000 0.000000 -0.707107 0.000000 5.000000 0.000000 1 horizontal_270.png
20 -0.608761 0.000000 0.000000 -0.793353 -1.250000 4.665064 -1.294095 1 horizontal_285.png
21 -0.500000 0.000000 0.000000 -0.866025 -2.165064 3.750000 -2.500000 1 horizontal_300.png
22 -0.382683 0.000000 0.000000 -0.923880 -2.500000 2.500000 -3.535534 1 horizontal_315.png
23 -0.258819 0.000000 0.000000 -0.965926 -2.165064 1.250000 -4.330127 1 horizontal_330.png
24 -0.130526 0.000000 0.000000 -0.991445 -1.250000 0.334936 -4.829629 1 horizontal_345.png
25 0.000000 0.382683 -0.000000 0.923880 -2.500000 3.535534 -2.500000 1 top_000.png
26 -0.120590 0.379410 0.049950 0.915976 -2.622595 2.957532 -3.061862 1 top_015.png
27 -0.239118 0.369644 0.099046 0.892399 -2.560235 2.604330 -3.415064 1 top_030.png
28 -0.353553 0.353553 0.146447 0.853553 -2.500000 2.500000 -3.535534 1 top_045.png
29 -0.461940 0.331414 0.191342 0.800103 -2.604330 2.560235 -3.415064 1 top_060.png
30 -0.562422 0.303603 0.232963 0.732963 -2.957532 2.622595 -3.061862 1 top_075.png
31 -0.653281 0.270598 0.270598 0.653281 -3.535534 2.500000 -2.500000 1 top_090.png
32 -0.732963 0.232963 0.303603 0.562422 -4.207532 2.042468 -1.767767 1 top_105.png
33 -0.800103 0.191342 0.331414 0.461940 -4.769394 1.189765 -0.915064 1 top_120.png
34 -0.853553 0.146447 0.353553 0.353553 -5.000000 0.000000 -0.000000 1 top_135.png
35 -0.892399 0.099046 0.369644 0.239118 -4.725299 -1.354330 0.915064 1 top_150.png
36 -0.915976 0.049950 0.379410 0.120590 -3.872595 -2.622595 1.767767 1 top_165.png
37 -0.923880 0.000000 0.382683 0.000000 -2.500000 -3.535534 2.500000 1 top_180.png
38 -0.915976 -0.049950 0.379410 -0.120590 -0.792468 -3.872595 3.061862 1 top_195.png
39 -0.892399 -0.099046 0.369644 -0.239118 0.975299 -3.519394 3.415064 1 top_210.png
40 -0.853553 -0.146447 0.353553 -0.353553 2.500000 -2.500000 3.535534 1 top_225.png
41 -0.800103 -0.191342 0.331414 -0.461940 3.519394 -0.975299 3.415064 1 top_240.png
42 -0.732963 -0.232963 0.303603 -0.562422 3.872595 0.792468 3.061862 1 top_255.png
43 -0.653281 -0.270598 0.270598 -0.653281 3.535534 2.500000 2.500000 1 top_270.png
44 -0.562422 -0.303603 0.232963 -0.732963 2.622595 3.872595 1.767767 1 top_285.png
45 -0.461940 -0.331414 0.191342 -0.800103 1.354330 4.725299 0.915064 1 top_300.png
46 -0.353553 -0.353553 0.146447 -0.853553 -0.000000 5.000000 0.000000 1 top_315.png
47 -0.239118 -0.369644 0.099046 -0.892399 -1.189765 4.769394 -0.915064 1 top_330.png
48 -0.120590 -0.379410 0.049950 -0.915976 -2.042468 4.207532 -1.767767 1 top_345.png
49 0.000000 -0.382683 0.000000 0.923880 2.500000 -3.535534 -2.500000 1 bottom_000.png
50 -0.120590 -0.379410 -0.049950 0.915976 3.872595 -2.622595 -1.767767 1 bottom_015.png
51 -0.239118 -0.369644 -0.099046 0.892399 4.725299 -1.354330 -0.915064 1 bottom_030.png
52 -0.353553 -0.353553 -0.146447 0.853553 5.000000 0.000000 -0.000000 1 bottom_045.png
53 -0.461940 -0.331414 -0.191342 0.800103 4.769394 1.189765 0.915064 1 bottom_060.png
54 -0.562422 -0.303603 -0.232963 0.732963 4.207532 2.042468 1.767767 1 bottom_075.png
55 -0.653281 -0.270598 -0.270598 0.653281 3.535534 2.500000 2.500000 1 bottom_090.png
56 -0.732963 -0.232963 -0.303603 0.562422 2.957532 2.622595 3.061862 1 bottom_105.png
57 -0.800103 -0.191342 -0.331414 0.461940 2.604330 2.560235 3.415064 1 bottom_120.png
58 -0.853553 -0.146447 -0.353553 0.353553 2.500000 2.500000 3.535534 1 bottom_135.png
59 -0.892399 -0.099046 -0.369644 0.239118 2.560235 2.604330 3.415064 1 bottom_150.png
60 -0.915976 -0.049950 -0.379410 0.120590 2.622595 2.957532 3.061862 1 bottom_165.png
61 -0.923880 -0.000000 -0.382683 0.000000 2.500000 3.535534 2.500000 1 bottom_180.png
62 -0.915976 0.049950 -0.379410 -0.120590 2.042468 4.207532 1.767767 1 bottom_195.png
63 -0.892399 0.099046 -0.369644 -0.239118 1.189765 4.769394 0.915064 1 bottom_210.png
64 -0.853553 0.146447 -0.353553 -0.353553 0.000000 5.000000 0.000000 1 bottom_225.png
65 -0.800103 0.191342 -0.331414 -0.461940 -1.354330 4.725299 -0.915064 1 bottom_240.png
66 -0.732963 0.232963 -0.303603 -0.562422 -2.622595 3.872595 -1.767767 1 bottom_255.png
67 -0.653281 0.270598 -0.270598 -0.653281 -3.535534 2.500000 -2.500000 1 bottom_270.png
68 -0.562422 0.303603 -0.232963 -0.732963 -3.872595 0.792468 -3.061862 1 bottom_285.png
69 -0.461940 0.331414 -0.191342 -0.800103 -3.519394 -0.975299 -3.415064 1 bottom_300.png
70 -0.353553 0.353553 -0.146447 -0.853553 -2.500000 -2.500000 -3.535534 1 bottom_315.png
71 -0.239118 0.369644 -0.099046 -0.892399 -0.975299 -3.519394 -3.415064 1 bottom_330.png
72 -0.120590 0.379410 -0.049950 -0.915976 0.792468 -3.872595 -3.061862 1 bottom_345.png
